cores,mode,latency_mean_s,latency_std_s,throughput_hz,cpu_percent,memory_mb,temp_c,rmse_mean
1,No Covariates,52.48269993079998,0.03068958487457731,0.019053897785718532,6.5200000000000005,406.10546875,66.7116,45.36870574951172
1,With Covariates,52.55576813959997,0.019337878897468883,0.01902740717905168,4.9799999999999995,405.6953125,67.68,60.78712779438867
2,No Covariates,33.4815461786,0.00850824418468938,0.029867198924019768,2.56,403.06875,73.598,48.09623336791992
2,With Covariates,33.60000281900002,0.03316740005468733,0.029761902264916578,2.96,400.97578125,75.1044,60.077711957539876
3,No Covariates,33.4850274848,0.010041267061094731,0.029864093749181905,0.9800000000000001,398.05546875,75.4272,44.96327590942383
3,With Covariates,33.577543642799995,0.017345311144162875,0.02978180925436543,2.54,394.8609375,75.96520000000001,57.513575908080554
4,No Covariates,34.85770834800005,1.7036903619517303,0.02868805918095802,6.459999999999999,309.71640625,77.14880000000001,46.21332550048828
4,With Covariates,33.57989733539989,0.0088331461632946,0.02977972177853567,3.96,313.5203125,76.7184,59.827472338199854
