timestamp,model,context_h,horizon_h,mean_latency_ms,std_latency_ms,throughput_fps,cpu_percent,mem_mb,mean_rmse,n_windows,cache_hit_rate,l1_hit_rate,cache_misses,load_time_s,status,error
1760344498.4889793,tiny,48,4,60.812871650114175,7.405610526196414,16.443887171674493,3.7,6560.83984375,43.782955957555885,20,0.0,0.0,0,1.7286955029994715,ok,
1760344500.6096559,tiny,48,8,100.00380564997613,9.848984933003463,9.999619449484808,4.9,6556.75390625,60.638324190312034,20,0.03475653199626997,0.046551678010747895,368169028,1.7286955029994715,ok,
1760344504.9040887,tiny,48,24,208.92193205022522,41.45254985004244,4.786476892045964,1.9,6546.24609375,78.22494649096862,20,0.6951306399253994,0.9310335602149579,7363380560,1.7286955029994715,ok,
1760344505.7674644,tiny,96,4,37.49145865003811,7.9970000794203395,26.67274189928013,1.9,6545.34375,59.97125518659619,20,0.6951306399253994,0.9310335602149579,7363380560,1.7286955029994715,ok,
1760344507.2415342,tiny,96,8,67.98467660009919,13.024228076720528,14.709196983935362,1.9,6543.4765625,71.65803385479423,20,0.6970859358423022,0.9271992044634366,14912612276,1.7286955029994715,ok,
1760344510.6208286,tiny,96,24,163.3161057000052,26.62889559364096,6.123094814891659,1.9,6539.953125,89.3299244105288,20,0.6973031909441803,0.9267731649354898,15751415800,1.7286955029994715,ok,
1760344511.6478677,tiny,192,4,45.690293250027025,8.276473913998085,21.8864867977053,1.9,6536.203125,61.082343719174,20,0.6975676925105527,0.9268292740803739,15940660053,1.7286955029994715,ok,
1760344513.2684937,tiny,192,8,75.35562550010582,14.84753252962853,13.270409387001846,1.9,6527.3984375,90.5326896892844,20,0.7025932222716288,0.927895347833172,19536300860,1.7286955029994715,ok,
1760344516.8882782,tiny,192,24,175.33458825009802,21.52866873656225,5.703381232307659,0.6,6531.65234375,85.51733001300484,20,0.7025932222716288,0.927895347833172,19536300860,1.7286955029994715,ok,
1760344518.0000858,tiny,240,4,49.933885450082016,8.909797954948793,20.026480835337388,1.2,6531.91015625,45.905251599920845,20,0.700786169556508,0.9270697239866299,19702895558,1.7286955029994715,ok,
1760344519.7013173,tiny,240,8,79.38888129992847,14.792283353711321,12.596222337760803,1.3,6528.71875,72.5913638194589,20,0.7005853859214946,0.9269779880036808,19721406080,1.7286955029994715,ok,
1760344523.517517,tiny,240,24,185.1647572998445,21.696897757278467,5.400595742853275,1.9,6531.94921875,79.44313598917873,20,0.7023997292343103,0.9270937116327704,19624654850,1.7286955029994715,ok,
1760344525.0407598,tiny,336,4,70.45537520002654,11.307154078578037,14.193381231182817,6.9,6587.00390625,50.529770036689754,20,0.7078427591727576,0.9274408825200394,19334401160,1.7286955029994715,ok,
1760344527.095216,tiny,336,8,97.08428855010425,8.656511497655874,10.300327838153851,1.9,6557.3203125,55.068640183936786,20,0.7078427591727576,0.9274408825200394,19334401160,1.7286955029994715,ok,
1760344531.6527436,tiny,336,24,222.22011560002102,24.122503193123244,4.500042659503978,6.3,6621.78515625,73.64312106073368,20,0.7360018753395634,0.9284941201126712,17130070728,1.7286955029994715,ok,
