mode,mean_latency_ms,throughput_fps,mean_rmse,cpu_percent,mem_mb,cache_hit_rate,l1_hit_rate,cache_misses
Without Covariates,1418.407126920356,0.7050161981145702,29.005373978978355,793.4004079632551,9090.078125,0.8806595999913074,0.9367821851427763,14130668334
With Covariates,1483.8003320594726,0.673945124821497,52.68405858470901,792.7713744106541,9125.72265625,0.8835800415377124,0.9343472346969485,13595066680
